Name,Price,Change 1h,Direction 1h,Change 24h,Direction 24h,Change 7d,Direction 7d,Change 30d,Direction 30d,24h Volume,Circulating Supply,Total Supply
Bitcoin BTC,"$70,242.12",0.5%,down,1.1%,up,2.9%,up,10.1%,up,"$31,267,384,395","19,707,737",21M
Ethereum ETH,"$3,794.41",0.1%,down,0.4%,up,0.9%,down,20.9%,up,"$11,670,239,565","120,146,772",120.15M
Tether USDT,$0.9987,0.0%,down,0.0%,down,0.0%,up,0.0%,down,"$31,155,908,261","112,286,364,258",112.29B
BNB BNB,$668.85,0.2%,up,6.7%,up,11.2%,up,12.8%,up,"$2,205,135,005","153,856,150",153.86M
Solana SOL,$168.56,0.4%,down,1.0%,up,0.9%,down,15.4%,up,"$1,754,998,914","459,805,562",577.41M
Lido Staked Ether STETH,"$3,793.05",0.2%,down,0.4%,up,1.1%,down,20.8%,up,"$44,708,675","9,509,471",9.51M
USDC USDC,$0.9991,0.1%,down,0.1%,down,0.1%,down,0.1%,down,"$5,991,532,420","32,252,981,772",32.27B
XRP XRP,$0.5256,0.1%,up,0.8%,up,0.0%,down,0.8%,down,"$901,125,555","55,450,358,947",99.99B
Dogecoin DOGE,$0.1605,0.2%,down,0.0%,down,2.7%,down,1.1%,down,"$685,755,495","144,572,076,384",144.57B
Toncoin TON,$7.07,0.4%,up,4.5%,up,9.1%,up,20.3%,up,"$281,948,754","2,413,610,550",5.11B
Cardano ADA,$0.462,0.0%,down,0.6%,up,0.9%,up,0.3%,up,"$275,193,291","35,384,534,419",45B
Shiba Inu SHIB,$0.00002431,0.6%,down,2.1%,down,7.6%,down,1.6%,down,"$561,986,589","589,262,909,794,915",999.98T
Avalanche AVAX,$35.60,0.4%,down,1.1%,down,4.1%,down,4.4%,down,"$331,417,895","393,211,094",442.56M
Wrapped Bitcoin WBTC,"$70,261.87",0.4%,down,1.3%,up,3.0%,up,10.1%,up,"$203,016,892","153,024",153024.11
Chainlink LINK,$17.63,0.3%,down,0.5%,down,4.3%,down,22.7%,up,"$338,061,497","587,099,971",1B
TRON TRX,$0.1142,0.0%,up,0.5%,up,2.7%,up,5.5%,down,"$281,360,279","87,350,839,770",87.35B
Polkadot DOT,$7.19,0.1%,up,1.1%,up,3.0%,down,1.2%,down,"$160,904,606","1,372,404,608",1.45B
Bitcoin Cash BCH,$474.38,0.1%,down,0.8%,up,1.0%,up,1.5%,up,"$222,946,685","19,715,000",21M
Uniswap UNI,$11.42,2.0%,down,18.5%,up,2.8%,up,51.7%,up,"$596,186,301","753,766,667",1B
NEAR Protocol NEAR,$7.41,0.2%,down,2.4%,up,3.8%,down,0.1%,up,"$279,574,294","1,082,315,577",1.18B
Polygon MATIC,$0.7117,0.2%,down,0.4%,up,3.1%,down,2.7%,down,"$246,845,070","9,282,943,566",10B
Litecoin LTC,$83.25,0.5%,up,0.0%,up,0.2%,up,2.6%,up,"$293,197,328","74,606,027",84M
Pepe PEPE,$0.00001417,1.2%,down,5.2%,down,11.9%,down,68.8%,up,"$795,848,952","420,690,000,000,000",420.69T
Internet Computer ICP,$12.17,0.2%,down,0.5%,up,0.0%,up,6.4%,down,"$69,154,514","464,442,226",519.07M
LEO Token LEO,$5.94,0.0%,up,0.1%,down,0.2%,down,2.0%,up,"$2,132,076","926,275,536",985.24M
Wrapped eETH WEETH,"$3,942.49",0.2%,down,0.4%,up,1.0%,down,21.3%,up,"$108,553,197","1,379,165",1.38M
Fetch.ai FET,$2.11,0.7%,down,3.0%,down,5.6%,down,9.4%,down,"$142,140,605","2,521,012,371",2.63B
Dai DAI,$0.9993,0.0%,down,0.0%,down,0.0%,up,0.1%,up,"$329,521,360","5,267,651,978",5.27B
Ethereum Classic ETC,$29.50,0.2%,down,2.2%,up,6.5%,down,6.5%,up,"$148,566,535","147,383,428",210.7M
Kaspa KAS,$0.1772,0.3%,down,8.6%,up,26.8%,up,62.9%,up,"$178,986,617","23,830,395,909",23.83B
Render RNDR,$10.28,0.7%,down,2.2%,up,2.8%,up,5.4%,up,"$184,484,413","388,646,672",532.07M
Aptos APT,$9.12,0.2%,down,1.3%,up,3.6%,down,0.7%,down,"$1,059,603,168","437,370,274",1.1B
Renzo Restaked ETH EZETH,"$3,742.22",0.1%,down,0.4%,up,1.3%,down,21.0%,up,"$54,092,872","996,928",999968.02
Hedera HBAR,$0.1019,0.8%,down,0.2%,down,2.7%,down,8.1%,down,"$54,831,101","35,749,981,468",50B
Immutable IMX,$2.31,0.2%,up,1.9%,up,0.2%,down,3.2%,up,"$54,059,532","1,482,345,419",2B
dogwifhat WIF,$3.38,1.2%,down,1.7%,down,9.3%,down,3.3%,up,"$429,251,800","998,926,392",998.93M
Filecoin FIL,$5.95,0.2%,down,1.8%,up,0.0%,up,3.5%,down,"$138,231,931","559,906,937",1.96B
Cosmos Hub ATOM,$8.50,0.3%,down,0.7%,up,3.5%,down,7.8%,down,"$116,778,401","390,688,370",390.93M
